video_id,channel_Id,playlist_id,channelTitle,title,tags,duration,dimension,definition,projection,viewCount,likeCount,commentCount,publishdate,publishtime
4uoQUHuOVSI,UCA_23dkEYToAc37hjSsCnXA,UUA_23dkEYToAc37hjSsCnXA,MixiGaming,(Restream) Top 1 server Congiun comeback vùng đất rắn và pha đập thẻ chớp nhoáng không kịp trở tay.,"['Mixigaming', 'Mixi', 'Độ Tày', 'Streamer Mixigaming', 'Mixigaming Funny Stream', 'mixivlog', 'do mixi', 'mixigaming talkshow', 'mixigaming', 'mixigaming funny stream', 'streamer mixigaming', 'mixigaming liveshow', 'mixi', 'độ tày', 'độ mixi', 'độ mixi stream', 'restream', 'restream hôm qua', 'restream mixigaming', 'restream mixi', 'mukbang mận hà nội', 'mukbang mận mùa hè', 'độ mixi mukbang mận', 'mukbang ăn mận', 'ao làng pubg', 'ao làng pubg mixigaming', 'ao làng pubg độ mixi']",01:12:58,2d,hd,rectangular,786797,13611,92.0,2024-06-01,16:42:08
uZKVw-SbGf0,UCA_23dkEYToAc37hjSsCnXA,UUA_23dkEYToAc37hjSsCnXA,MixiGaming,"(Restream) Kế hoạch tặng kim cương 1/6 cho Tùng Sói, Nhu Nhi và chém gió cùng ae FA trong Discord.","['Mixigaming', 'Mixi', 'Độ Tày', 'Streamer Mixigaming', 'Mixigaming Funny Stream', 'mixivlog', 'do mixi', 'mixigaming talkshow', 'mixigaming', 'mixigaming funny stream', 'streamer mixigaming', 'mixigaming liveshow', 'mixi', 'độ tày', 'độ mixi', 'độ mixi stream', 'restream', 'restream hôm qua', 'restream mixigaming', 'restream mixi', 'mukbang mận hà nội', 'mukbang mận mùa hè', 'độ mixi mukbang mận', 'mukbang ăn mận', 'ao làng pubg', 'ao làng pubg mixigaming', 'ao làng pubg độ mixi']",01:43:08,2d,hd,rectangular,748880,16415,93.0,2024-05-31,17:14:55
3JJrqQW7q7E,UCA_23dkEYToAc37hjSsCnXA,UUA_23dkEYToAc37hjSsCnXA,MixiGaming,(Talkshow) Quà ngập nhà từ bạn iu Pewpew và buổi tụ họp hát hò bất ngờ cùng anh em RF lúc nửa đêm.,"['Mixigaming', 'Mixi', 'Độ Tày', 'Streamer Mixigaming', 'Funny', 'Mixigaming Funny Stream', 'Funny Stream', 'Streamer Việt Nam', 'Stream Việt Nam', 'Stream Việt', 'PUBG', ""Player Unknown's Battle Ground VN"", 'PUBG VN', 'CSGO', 'CSGO VN', 'Vịt Ngỗng Mixigaming', 'Mixigaming Goose Goose Duck', 'Goose Goose Duck Việt Nam', 'Mixigaming Shorts', 'mixigaming', 'talkshow', 'talkshow mixigaming', 'talkshow độ mixi', 'pewew', 'pewpew talkshow', 'pewpew và độ mixi talkshow', 'pewpew qua nhà độ mixi', 'pewpew và độ mixi']",02:15:53,2d,hd,rectangular,1895391,30498,599.0,2024-05-30,14:00:04
NbNBYA8Y41U,UCA_23dkEYToAc37hjSsCnXA,UUA_23dkEYToAc37hjSsCnXA,MixiGaming,(Goose Goose Duck #71) Chú vịt ăn xác Mixi lấn sân ám sát & thể hiện nghề tay ngang thầy bói xem voi,"['Mixigaming', 'Mixi', 'Độ Tày', 'Streamer Mixigaming', 'Funny', 'Mixigaming Funny Stream', 'Funny Stream', 'Streamer Việt Nam', 'Stream Việt Nam', 'Stream Việt', 'PUBG', ""Player Unknown's Battle Ground VN"", 'PUBG VN', 'CSGO', 'CSGO VN', 'Vịt Ngỗng Mixigaming', 'Mixigaming Goose Goose Duck', 'mixigaming', 'goose goose duck độ mixi', 'goose goose duck mixigaming', 'goose goose duck #71', 'goose goose duck refund', 'refund gaming', 'team refund goose goose duck']",01:43:25,2d,hd,rectangular,1941815,20790,470.0,2024-05-30,05:00:19
cscGSWosqkY,UCA_23dkEYToAc37hjSsCnXA,UUA_23dkEYToAc37hjSsCnXA,MixiGaming,(Restream) Mukbang mận mùa hè cùng trận ao làng PUBG và cái kết đừng bao giờ coi thường người khác.,"['Mixigaming', 'Mixi', 'Độ Tày', 'Streamer Mixigaming', 'Mixigaming Funny Stream', 'mixivlog', 'do mixi', 'mixigaming talkshow', 'mixigaming', 'mixigaming funny stream', 'streamer mixigaming', 'mixigaming liveshow', 'mixi', 'độ tày', 'độ mixi', 'độ mixi stream', 'restream', 'restream hôm qua', 'restream mixigaming', 'restream mixi', 'mukbang mận hà nội', 'mukbang mận mùa hè', 'độ mixi mukbang mận', 'mukbang ăn mận', 'ao làng pubg', 'ao làng pubg mixigaming', 'ao làng pubg độ mixi']",01:50:03,2d,hd,rectangular,806524,15383,76.0,2024-05-29,17:22:17
_0jovA9H0iM,UCA_23dkEYToAc37hjSsCnXA,UUA_23dkEYToAc37hjSsCnXA,MixiGaming,(Internet Cafe & Supermarket Simulator) Net cỏ Độ Lý bội thu với chiến lược kinh doanh kiểu Cao Bằng,"['Mixigaming', 'Mixi', 'Độ Tày', 'Streamer Mixigaming', 'Funny', 'Mixigaming Funny Stream', 'Funny Stream', 'Streamer Việt Nam', 'Stream Việt Nam', 'Stream Việt', 'PUBG', ""Player Unknown's Battle Ground VN"", 'PUBG VN', 'CSGO', 'CSGO VN', 'Vịt Ngỗng Mixigaming', 'Mixigaming Goose Goose Duck', 'Mixigaming Shorts', 'Internet Cafe & Supermarket Simulator', 'simulator', 'simulator mixigaming', 'simulator độ mixi', 'internet cafe simulator', 'internet cafe simulator 2 độ mixi', 'internet cafe simulator gameplay']",02:27:43,2d,hd,rectangular,1440349,17023,316.0,2024-05-29,05:00:18
xBzPwQzQDZs,UCA_23dkEYToAc37hjSsCnXA,UUA_23dkEYToAc37hjSsCnXA,MixiGaming,"(Restream) Anh Độ ""cơ hội"" hát chúc mừng sinh nhật và reaction Vlog của bạn thân Xemesis cùng Pewpew","['Mixigaming', 'Mixi', 'Độ Tày', 'Streamer Mixigaming', 'Mixigaming Funny Stream', 'mixivlog', 'do mixi', 'mixigaming talkshow', 'mixigaming', 'mixigaming funny stream', 'streamer mixigaming', 'mixigaming liveshow', 'mixi', 'độ tày', 'độ mixi', 'độ mixi stream', 'restream', 'restream hôm qua', 'restream mixigaming', 'restream mixi', 'xemesis', 'xemesis mixigaming', 'tứ hoàng streamer', 'xemesis vlog', 'pewpew', 'độ mixi reaction', 'độ mixi reaction vlog xemesis', 'vlog xemesis và pewpew']",01:23:30,2d,hd,rectangular,683145,14253,68.0,2024-05-28,16:52:05
Dopj_h0FPSs,UCA_23dkEYToAc37hjSsCnXA,UUA_23dkEYToAc37hjSsCnXA,MixiGaming,(Dark Notes) Lạc vào trung tâm thương mại bị ma ám và khám phá sự thật sau những vụ mất tích bí ẩn.,"['Mixigaming', 'Mixi', 'Độ Tày', 'Streamer Mixigaming', 'Funny', 'Mixigaming Funny Stream', 'Funny Stream', 'Streamer Việt Nam', 'Stream Việt Nam', 'Stream Việt', 'PUBG', ""Player Unknown's Battle Ground VN"", 'Vịt Ngỗng Mixigaming', 'Mixigaming Goose Goose Duck', 'Goose Goose Duck Việt Nam', 'dark notes', 'dark notes game', 'dark notes gameplay', 'mixigaming', 'mixigaming dark notes', 'độ mixi dark notes', 'độ mixi chơi dark notes', 'cốt truyện dark notes', 'dark notes mixigaming']",02:58:58,2d,hd,rectangular,509814,7282,175.0,2024-05-28,10:00:14
ur72cENH8Rg,UCA_23dkEYToAc37hjSsCnXA,UUA_23dkEYToAc37hjSsCnXA,MixiGaming,(Restream) Thánh quảng cáo sản phẩm gọi tên a Độ Mixi và kế hoạch tổ chức gặp gỡ kí tên tại Đà Nẵng.,"['Mixigaming', 'Mixi', 'Độ Tày', 'Streamer Mixigaming', 'Mixigaming Funny Stream', 'mixivlog', 'do mixi', 'mixigaming talkshow', 'mixigaming', 'mixigaming funny stream', 'streamer mixigaming', 'mixigaming liveshow', 'mixi', 'độ tày', 'độ mixi', 'độ mixi stream', 'restream', 'restream hôm qua', 'restream mixigaming', 'restream mixi', 'xemesis', 'xemesis mixigaming', 'tứ hoàng streamer', 'tứ hoàng', 'đi để trở về 2025', 'đi để trở về', 'đi để trở về mùa 8', 'đi để trở về mùa 9', 'tàu bắc nam', 'tàu thống nhất', 'pewpew', 'viruss', 'pew pew']",01:27:15,2d,hd,rectangular,616294,12675,86.0,2024-05-27,16:57:16
M8qQTbUgRfc,UCA_23dkEYToAc37hjSsCnXA,UUA_23dkEYToAc37hjSsCnXA,MixiGaming,Kèo BO3 CS2 căng như dây đàn trong cuộc chiến không hồi kết giữa Refund Gaming và đối thủ 500 Bros.,"['Mixigaming', 'Mixi', 'Độ Tày', 'Streamer Mixigaming', 'Funny', 'Mixigaming Funny Stream', 'Funny Stream', 'Streamer Việt Nam', 'Stream Việt Nam', 'Stream Việt', 'PUBG', ""Player Unknown's Battle Ground VN"", 'PUBG VN', 'CSGO', 'CSGO VN', 'Vịt Ngỗng Mixigaming', 'Mixigaming Goose Goose Duck', 'mixigaming', 'cs2', 'fps game', 'cs2 fps gameplay', 'mixigaming cs2', 'refund gaming cs2', '500bros cs2', '500 bros vs refund gaming', '500 bros vs refund gaming cs2']",02:14:14,2d,hd,rectangular,951546,11362,240.0,2024-05-27,10:00:14
